enterprise_code,company_name,english_name,province,city,industry_code,industry_category,founded_date,employee_count,annual_revenue,has_foreign_trade_experience,target_markets,status
ENT0001,样例企业001有限公司,"Sample Enterprise 001 Co., Ltd.",江苏省,常州市,HOME,家居日用,2018-11-29,1242,257170000.00,True,"欧洲,拉美",active
ENT0002,样例企业002有限公司,"Sample Enterprise 002 Co., Ltd.",上海市,上海市,MACH,机械设备,2024-06-07,987,252320000.00,False,"中东,拉美",archived
ENT0003,样例企业003有限公司,"Sample Enterprise 003 Co., Ltd.",广东省,深圳市,HOME,家居日用,2019-10-04,1163,40700000.00,True,"欧洲,东南亚",active
ENT0004,样例企业004有限公司,"Sample Enterprise 004 Co., Ltd.",北京市,北京市,FOOD,食品饮料,2016-09-24,848,471100000.00,True,"中东,北美",draft
ENT0005,样例企业005有限公司,"Sample Enterprise 005 Co., Ltd.",江苏省,南京市,MACH,机械设备,2022-06-02,993,121060000.00,True,"中东,东南亚",draft
ENT0006,样例企业006有限公司,"Sample Enterprise 006 Co., Ltd.",上海市,上海市,TEXT,纺织服装,2006-08-30,1478,99100000.00,True,"中东,东南亚",active
ENT0007,样例企业007有限公司,"Sample Enterprise 007 Co., Ltd.",福建省,福州市,HOME,家居日用,2009-04-27,986,146790000.00,False,"欧洲,北美",draft
ENT0008,样例企业008有限公司,"Sample Enterprise 008 Co., Ltd.",福建省,福州市,TEXT,纺织服装,2018-12-24,700,289340000.00,True,"东南亚,非洲",archived
ENT0009,样例企业009有限公司,"Sample Enterprise 009 Co., Ltd.",上海市,上海市,HOME,家居日用,2019-05-19,665,475010000.00,False,"北美,东南亚",archived
ENT0010,样例企业010有限公司,"Sample Enterprise 010 Co., Ltd.",福建省,福州市,FOOD,食品饮料,2017-05-16,843,290420000.00,True,"非洲,北美",archived
ENT0011,样例企业011有限公司,"Sample Enterprise 011 Co., Ltd.",北京市,北京市,TEXT,纺织服装,2005-01-05,389,166000000.00,False,"北美,拉美",draft
ENT0012,样例企业012有限公司,"Sample Enterprise 012 Co., Ltd.",浙江省,绍兴市,HOME,家居日用,2012-02-22,268,65460000.00,False,"北美,东南亚",draft
ENT0013,样例企业013有限公司,"Sample Enterprise 013 Co., Ltd.",山东省,青岛市,MACH,机械设备,2016-07-12,1353,180730000.00,False,"北美,欧洲",draft
ENT0014,样例企业014有限公司,"Sample Enterprise 014 Co., Ltd.",浙江省,宁波市,ELEC,电子电气,2021-06-14,949,154240000.00,False,"拉美,非洲",archived
ENT0015,样例企业015有限公司,"Sample Enterprise 015 Co., Ltd.",北京市,北京市,MACH,机械设备,2010-08-09,888,178710000.00,False,"北美,非洲",active
ENT0016,样例企业016有限公司,"Sample Enterprise 016 Co., Ltd.",北京市,北京市,TEXT,纺织服装,2014-11-03,1307,499490000.00,True,"北美,非洲",active
ENT0017,样例企业017有限公司,"Sample Enterprise 017 Co., Ltd.",山东省,济南市,HOME,家居日用,2006-06-23,1261,456280000.00,False,"欧洲,东南亚",archived
ENT0018,样例企业018有限公司,"Sample Enterprise 018 Co., Ltd.",山东省,烟台市,FOOD,食品饮料,2010-11-29,1274,106220000.00,False,"欧洲,北美",active
ENT0019,样例企业019有限公司,"Sample Enterprise 019 Co., Ltd.",浙江省,杭州市,MACH,机械设备,2020-08-09,1054,216240000.00,True,"东南亚,中东",active
ENT0020,样例企业020有限公司,"Sample Enterprise 020 Co., Ltd.",浙江省,杭州市,ELEC,电子电气,2006-09-10,1186,33840000.00,True,"拉美,非洲",active
ENT0021,样例企业021有限公司,"Sample Enterprise 021 Co., Ltd.",山东省,青岛市,TEXT,纺织服装,2007-03-23,1137,300330000.00,False,"东南亚,拉美",active
ENT0022,样例企业022有限公司,"Sample Enterprise 022 Co., Ltd.",上海市,上海市,MACH,机械设备,2021-12-26,1277,92850000.00,True,"欧洲,中东",active
ENT0023,样例企业023有限公司,"Sample Enterprise 023 Co., Ltd.",江苏省,南京市,TEXT,纺织服装,2020-07-07,1156,456600000.00,False,"拉美,欧洲",draft
ENT0024,样例企业024有限公司,"Sample Enterprise 024 Co., Ltd.",上海市,上海市,HOME,家居日用,2021-06-01,1472,209310000.00,True,"东南亚,欧洲",active
ENT0025,样例企业025有限公司,"Sample Enterprise 025 Co., Ltd.",广东省,佛山市,ELEC,电子电气,2019-07-07,487,247170000.00,False,"拉美,中东",archived
ENT0026,样例企业026有限公司,"Sample Enterprise 026 Co., Ltd.",江苏省,常州市,FOOD,食品饮料,2012-08-15,718,387410000.00,False,"非洲,中东",active
ENT0027,样例企业027有限公司,"Sample Enterprise 027 Co., Ltd.",浙江省,宁波市,FOOD,食品饮料,2019-07-18,97,150130000.00,True,"中东,拉美",active
ENT0028,样例企业028有限公司,"Sample Enterprise 028 Co., Ltd.",江苏省,无锡市,TEXT,纺织服装,2024-10-31,574,452100000.00,True,"拉美,欧洲",active
ENT0029,样例企业029有限公司,"Sample Enterprise 029 Co., Ltd.",上海市,上海市,HOME,家居日用,2013-04-25,502,237510000.00,False,"中东,拉美",active
ENT0030,样例企业030有限公司,"Sample Enterprise 030 Co., Ltd.",江苏省,常州市,TEXT,纺织服装,2020-01-02,796,284920000.00,True,"拉美,北美",draft
ENT0031,样例企业031有限公司,"Sample Enterprise 031 Co., Ltd.",山东省,潍坊市,ELEC,电子电气,2007-10-07,906,22530000.00,False,"中东,非洲",archived
ENT0032,样例企业032有限公司,"Sample Enterprise 032 Co., Ltd.",上海市,上海市,MACH,机械设备,2015-03-13,554,199280000.00,False,"非洲,北美",draft
ENT0033,样例企业033有限公司,"Sample Enterprise 033 Co., Ltd.",山东省,青岛市,TEXT,纺织服装,2014-06-15,998,16950000.00,False,"非洲,拉美",archived
ENT0034,样例企业034有限公司,"Sample Enterprise 034 Co., Ltd.",北京市,北京市,MACH,机械设备,2005-07-01,337,75130000.00,True,"非洲,中东",draft
ENT0035,样例企业035有限公司,"Sample Enterprise 035 Co., Ltd.",福建省,厦门市,ELEC,电子电气,2008-04-09,745,269080000.00,True,"拉美,欧洲",archived
ENT0036,样例企业036有限公司,"Sample Enterprise 036 Co., Ltd.",山东省,潍坊市,MACH,机械设备,2019-09-25,1322,424460000.00,False,"欧洲,非洲",active
ENT0037,样例企业037有限公司,"Sample Enterprise 037 Co., Ltd.",江苏省,常州市,MACH,机械设备,2009-05-28,320,481560000.00,False,"中东,欧洲",active
ENT0038,样例企业038有限公司,"Sample Enterprise 038 Co., Ltd.",江苏省,无锡市,MACH,机械设备,2009-05-25,189,312230000.00,False,"拉美,北美",archived
ENT0039,样例企业039有限公司,"Sample Enterprise 039 Co., Ltd.",山东省,济南市,HOME,家居日用,2022-10-04,647,359930000.00,False,"中东,拉美",archived
ENT0040,样例企业040有限公司,"Sample Enterprise 040 Co., Ltd.",山东省,潍坊市,TEXT,纺织服装,2010-11-27,1352,117450000.00,True,"非洲,拉美",archived
ENT0041,样例企业041有限公司,"Sample Enterprise 041 Co., Ltd.",福建省,福州市,HOME,家居日用,2019-07-29,1380,55080000.00,True,"东南亚,拉美",archived
ENT0042,样例企业042有限公司,"Sample Enterprise 042 Co., Ltd.",浙江省,宁波市,HOME,家居日用,2006-03-12,1413,41720000.00,True,"北美,中东",archived
ENT0043,样例企业043有限公司,"Sample Enterprise 043 Co., Ltd.",江苏省,苏州市,MACH,机械设备,2013-10-11,767,423210000.00,True,"欧洲,拉美",draft
ENT0044,样例企业044有限公司,"Sample Enterprise 044 Co., Ltd.",广东省,东莞市,FOOD,食品饮料,2007-06-03,420,403620000.00,False,"北美,欧洲",archived
ENT0045,样例企业045有限公司,"Sample Enterprise 045 Co., Ltd.",江苏省,无锡市,FOOD,食品饮料,2014-06-14,78,165640000.00,False,"北美,非洲",active
ENT0046,样例企业046有限公司,"Sample Enterprise 046 Co., Ltd.",江苏省,无锡市,FOOD,食品饮料,2009-01-03,116,468860000.00,True,"中东,非洲",archived
ENT0047,样例企业047有限公司,"Sample Enterprise 047 Co., Ltd.",浙江省,宁波市,MACH,机械设备,2008-06-24,1306,144270000.00,True,"东南亚,拉美",active
ENT0048,样例企业048有限公司,"Sample Enterprise 048 Co., Ltd.",北京市,北京市,FOOD,食品饮料,2009-11-24,66,398320000.00,True,"非洲,拉美",active
ENT0049,样例企业049有限公司,"Sample Enterprise 049 Co., Ltd.",上海市,上海市,HOME,家居日用,2017-05-20,1406,358260000.00,True,"非洲,拉美",archived
ENT0050,样例企业050有限公司,"Sample Enterprise 050 Co., Ltd.",山东省,济南市,HOME,家居日用,2021-11-12,987,56810000.00,True,"非洲,中东",active
