product_code,enterprise_code,product_name_cn,product_name_en,industry_code,industry_name,product_category,product_type,hs_code,unit,moq,exw_price,currency,quote_date,quote_valid_until,target_market,export_suitability,recommendation_level,certification_status,status
PRD00001,ENT0001,样例企业001产品1,Product 1 of ENT0001,HOME,家居日用,定制产品,ODM,37144039,套,100,168.23,USD,2024-12-29,2025-03-29,北美,待判断,C待完善,齐全,draft
PRD00002,ENT0001,样例企业001产品2,Product 2 of ENT0001,HOME,家居日用,定制产品,标准品,31769425,台,200,227.72,USD,2023-09-12,2023-12-11,中东,基本适合,C待完善,部分齐全,active
PRD00003,ENT0001,样例企业001产品3,Product 3 of ENT0001,HOME,家居日用,升级产品,标准品,93832882,套,200,80.34,USD,2024-12-20,2025-03-20,非洲,基本适合,C待完善,部分齐全,active
PRD00004,ENT0001,样例企业001产品4,Product 4 of ENT0001,HOME,家居日用,升级产品,定制品,94739756,台,50,104.99,USD,2024-09-29,2024-12-28,北美,待判断,C待完善,待补充,inactive
PRD00005,ENT0001,样例企业001产品5,Product 5 of ENT0001,HOME,家居日用,配套产品,ODM,35829819,套,100,31.49,USD,2024-08-19,2024-11-17,北美,适合,A优先推荐,部分齐全,active
PRD00006,ENT0002,样例企业002产品1,Product 1 of ENT0002,MACH,机械设备,配套产品,定制品,61345857,件,200,200.02,USD,2023-12-29,2024-03-28,北美,待判断,C待完善,待补充,draft
PRD00007,ENT0002,样例企业002产品2,Product 2 of ENT0002,MACH,机械设备,升级产品,ODM,23772681,台,500,231.15,USD,2023-12-10,2024-03-09,中东,适合,A优先推荐,部分齐全,active
PRD00008,ENT0002,样例企业002产品3,Product 3 of ENT0002,MACH,机械设备,升级产品,标准品,71613296,件,100,47.76,USD,2024-12-17,2025-03-17,拉美,待判断,B可推荐,齐全,inactive
PRD00009,ENT0002,样例企业002产品4,Product 4 of ENT0002,MACH,机械设备,定制产品,ODM,97103476,台,500,147.50,USD,2024-06-29,2024-09-27,中东,适合,A优先推荐,部分齐全,inactive
PRD00010,ENT0002,样例企业002产品5,Product 5 of ENT0002,MACH,机械设备,配套产品,标准品,85162087,件,100,265.79,USD,2025-08-12,2025-11-10,东南亚,待判断,A优先推荐,齐全,active
PRD00011,ENT0003,样例企业003产品1,Product 1 of ENT0003,HOME,家居日用,配套产品,定制品,14418932,件,50,192.62,USD,2023-02-14,2023-05-15,非洲,适合,A优先推荐,待补充,inactive
PRD00012,ENT0003,样例企业003产品2,Product 2 of ENT0003,HOME,家居日用,定制产品,OEM,29685226,套,100,154.51,USD,2025-02-24,2025-05-25,拉美,适合,B可推荐,部分齐全,draft
PRD00013,ENT0003,样例企业003产品3,Product 3 of ENT0003,HOME,家居日用,核心产品,ODM,74084645,箱,50,201.48,USD,2024-02-03,2024-05-03,非洲,待判断,C待完善,待补充,active
PRD00014,ENT0003,样例企业003产品4,Product 4 of ENT0003,HOME,家居日用,核心产品,OEM,20616498,套,100,161.31,USD,2024-01-14,2024-04-13,拉美,适合,A优先推荐,齐全,inactive
PRD00015,ENT0003,样例企业003产品5,Product 5 of ENT0003,HOME,家居日用,升级产品,定制品,79774444,箱,500,279.47,USD,2025-07-17,2025-10-15,非洲,基本适合,C待完善,齐全,draft
PRD00016,ENT0004,样例企业004产品1,Product 1 of ENT0004,FOOD,食品饮料,配套产品,定制品,52137311,箱,500,176.58,USD,2024-04-24,2024-07-23,北美,适合,C待完善,齐全,draft
PRD00017,ENT0004,样例企业004产品2,Product 2 of ENT0004,FOOD,食品饮料,核心产品,标准品,99229833,箱,200,14.51,USD,2023-02-12,2023-05-13,欧洲,待判断,A优先推荐,待补充,active
PRD00018,ENT0004,样例企业004产品3,Product 3 of ENT0004,FOOD,食品饮料,核心产品,标准品,42120960,套,500,154.24,USD,2025-09-21,2025-12-20,拉美,基本适合,C待完善,待补充,inactive
PRD00019,ENT0004,样例企业004产品4,Product 4 of ENT0004,FOOD,食品饮料,定制产品,定制品,87238166,件,100,53.43,USD,2025-10-02,2025-12-31,中东,基本适合,B可推荐,部分齐全,draft
PRD00020,ENT0004,样例企业004产品5,Product 5 of ENT0004,FOOD,食品饮料,升级产品,标准品,83020674,台,50,98.89,USD,2023-01-12,2023-04-12,非洲,基本适合,A优先推荐,待补充,inactive
PRD00021,ENT0005,样例企业005产品1,Product 1 of ENT0005,MACH,机械设备,核心产品,OEM,67063348,箱,100,250.02,USD,2024-11-29,2025-02-27,非洲,基本适合,B可推荐,待补充,draft
PRD00022,ENT0005,样例企业005产品2,Product 2 of ENT0005,MACH,机械设备,核心产品,定制品,73158527,套,100,25.91,USD,2023-02-12,2023-05-13,中东,基本适合,C待完善,部分齐全,active
PRD00023,ENT0005,样例企业005产品3,Product 3 of ENT0005,MACH,机械设备,核心产品,定制品,88013589,套,100,114.25,USD,2024-07-13,2024-10-11,北美,待判断,A优先推荐,待补充,active
PRD00024,ENT0005,样例企业005产品4,Product 4 of ENT0005,MACH,机械设备,升级产品,ODM,67708554,件,500,51.87,USD,2025-09-03,2025-12-02,非洲,适合,B可推荐,部分齐全,draft
PRD00025,ENT0005,样例企业005产品5,Product 5 of ENT0005,MACH,机械设备,核心产品,OEM,87946483,件,200,173.05,USD,2023-08-25,2023-11-23,拉美,适合,C待完善,部分齐全,draft
PRD00026,ENT0006,样例企业006产品1,Product 1 of ENT0006,TEXT,纺织服装,配套产品,ODM,85432653,台,500,122.84,USD,2024-03-23,2024-06-21,拉美,基本适合,A优先推荐,部分齐全,draft
PRD00027,ENT0006,样例企业006产品2,Product 2 of ENT0006,TEXT,纺织服装,升级产品,定制品,71858581,台,100,269.81,USD,2024-07-21,2024-10-19,非洲,待判断,B可推荐,部分齐全,draft
PRD00028,ENT0006,样例企业006产品3,Product 3 of ENT0006,TEXT,纺织服装,核心产品,定制品,60810684,箱,500,206.57,USD,2023-09-24,2023-12-23,东南亚,适合,A优先推荐,齐全,inactive
PRD00029,ENT0006,样例企业006产品4,Product 4 of ENT0006,TEXT,纺织服装,配套产品,标准品,49683903,台,500,220.94,USD,2024-07-17,2024-10-15,欧洲,待判断,A优先推荐,齐全,draft
PRD00030,ENT0006,样例企业006产品5,Product 5 of ENT0006,TEXT,纺织服装,定制产品,标准品,99263721,件,50,106.05,USD,2024-07-27,2024-10-25,欧洲,基本适合,C待完善,待补充,inactive
PRD00031,ENT0007,样例企业007产品1,Product 1 of ENT0007,HOME,家居日用,核心产品,OEM,77808120,套,50,176.09,USD,2025-10-11,2026-01-09,拉美,适合,A优先推荐,待补充,draft
PRD00032,ENT0007,样例企业007产品2,Product 2 of ENT0007,HOME,家居日用,定制产品,OEM,33344681,台,200,106.23,USD,2023-12-17,2024-03-16,拉美,待判断,C待完善,齐全,draft
PRD00033,ENT0007,样例企业007产品3,Product 3 of ENT0007,HOME,家居日用,升级产品,定制品,61590931,件,200,62.66,USD,2025-01-24,2025-04-24,非洲,适合,B可推荐,部分齐全,inactive
PRD00034,ENT0007,样例企业007产品4,Product 4 of ENT0007,HOME,家居日用,升级产品,标准品,50058263,台,50,187.50,USD,2024-09-19,2024-12-18,中东,基本适合,A优先推荐,待补充,active
PRD00035,ENT0007,样例企业007产品5,Product 5 of ENT0007,HOME,家居日用,核心产品,OEM,25827037,件,100,56.45,USD,2024-08-23,2024-11-21,中东,基本适合,B可推荐,待补充,inactive
PRD00036,ENT0008,样例企业008产品1,Product 1 of ENT0008,TEXT,纺织服装,升级产品,OEM,69846877,套,100,248.59,USD,2023-11-06,2024-02-04,中东,基本适合,B可推荐,部分齐全,draft
PRD00037,ENT0008,样例企业008产品2,Product 2 of ENT0008,TEXT,纺织服装,定制产品,ODM,83571085,台,100,30.22,USD,2023-05-31,2023-08-29,欧洲,适合,A优先推荐,部分齐全,active
PRD00038,ENT0008,样例企业008产品3,Product 3 of ENT0008,TEXT,纺织服装,升级产品,定制品,41556536,台,500,135.29,USD,2023-04-15,2023-07-14,非洲,基本适合,A优先推荐,齐全,draft
PRD00039,ENT0008,样例企业008产品4,Product 4 of ENT0008,TEXT,纺织服装,定制产品,定制品,53575628,套,50,59.54,USD,2024-07-15,2024-10-13,欧洲,适合,C待完善,齐全,active
PRD00040,ENT0008,样例企业008产品5,Product 5 of ENT0008,TEXT,纺织服装,升级产品,OEM,19756779,台,100,121.69,USD,2025-09-03,2025-12-02,北美,基本适合,B可推荐,部分齐全,inactive
PRD00041,ENT0009,样例企业009产品1,Product 1 of ENT0009,HOME,家居日用,配套产品,OEM,77243034,台,100,202.04,USD,2025-03-12,2025-06-10,东南亚,适合,C待完善,部分齐全,inactive
PRD00042,ENT0009,样例企业009产品2,Product 2 of ENT0009,HOME,家居日用,配套产品,ODM,85235229,件,500,118.69,USD,2023-08-19,2023-11-17,非洲,待判断,A优先推荐,待补充,active
PRD00043,ENT0009,样例企业009产品3,Product 3 of ENT0009,HOME,家居日用,定制产品,定制品,54082340,台,50,132.95,USD,2025-07-28,2025-10-26,中东,基本适合,B可推荐,部分齐全,active
PRD00044,ENT0009,样例企业009产品4,Product 4 of ENT0009,HOME,家居日用,升级产品,标准品,28845265,台,100,111.55,USD,2024-04-21,2024-07-20,非洲,待判断,A优先推荐,部分齐全,draft
PRD00045,ENT0009,样例企业009产品5,Product 5 of ENT0009,HOME,家居日用,定制产品,OEM,16299131,箱,200,32.06,USD,2023-06-15,2023-09-13,非洲,待判断,C待完善,部分齐全,draft
PRD00046,ENT0010,样例企业010产品1,Product 1 of ENT0010,FOOD,食品饮料,升级产品,ODM,28984388,箱,200,290.51,USD,2024-01-17,2024-04-16,北美,适合,A优先推荐,部分齐全,active
PRD00047,ENT0010,样例企业010产品2,Product 2 of ENT0010,FOOD,食品饮料,核心产品,定制品,31438260,套,500,90.96,USD,2024-06-24,2024-09-22,非洲,适合,A优先推荐,待补充,active
PRD00048,ENT0010,样例企业010产品3,Product 3 of ENT0010,FOOD,食品饮料,核心产品,标准品,46360557,套,50,49.04,USD,2024-02-03,2024-05-03,东南亚,基本适合,C待完善,待补充,draft
PRD00049,ENT0010,样例企业010产品4,Product 4 of ENT0010,FOOD,食品饮料,升级产品,标准品,31787304,套,100,19.98,USD,2023-04-07,2023-07-06,非洲,基本适合,A优先推荐,部分齐全,active
PRD00050,ENT0010,样例企业010产品5,Product 5 of ENT0010,FOOD,食品饮料,配套产品,定制品,33719109,件,200,151.98,USD,2024-03-08,2024-06-06,中东,待判断,A优先推荐,齐全,draft
PRD00051,ENT0011,样例企业011产品1,Product 1 of ENT0011,TEXT,纺织服装,核心产品,OEM,12171223,台,100,229.13,USD,2023-08-29,2023-11-27,非洲,基本适合,C待完善,齐全,draft
PRD00052,ENT0011,样例企业011产品2,Product 2 of ENT0011,TEXT,纺织服装,定制产品,ODM,53360820,件,500,9.01,USD,2025-10-25,2026-01-23,欧洲,待判断,A优先推荐,待补充,draft
PRD00053,ENT0011,样例企业011产品3,Product 3 of ENT0011,TEXT,纺织服装,升级产品,定制品,77354075,台,50,163.72,USD,2025-06-07,2025-09-05,欧洲,基本适合,A优先推荐,部分齐全,draft
PRD00054,ENT0011,样例企业011产品4,Product 4 of ENT0011,TEXT,纺织服装,升级产品,标准品,67234923,件,500,228.51,USD,2023-06-20,2023-09-18,拉美,适合,A优先推荐,齐全,active
PRD00055,ENT0011,样例企业011产品5,Product 5 of ENT0011,TEXT,纺织服装,升级产品,定制品,35391324,箱,100,109.93,USD,2023-02-26,2023-05-27,欧洲,待判断,B可推荐,部分齐全,draft
PRD00056,ENT0012,样例企业012产品1,Product 1 of ENT0012,HOME,家居日用,核心产品,定制品,60197694,套,500,210.58,USD,2024-01-30,2024-04-29,拉美,基本适合,A优先推荐,待补充,draft
PRD00057,ENT0012,样例企业012产品2,Product 2 of ENT0012,HOME,家居日用,配套产品,定制品,77397308,件,200,167.82,USD,2024-08-19,2024-11-17,北美,适合,B可推荐,部分齐全,inactive
PRD00058,ENT0012,样例企业012产品3,Product 3 of ENT0012,HOME,家居日用,核心产品,定制品,15726293,台,200,198.88,USD,2023-10-20,2024-01-18,东南亚,适合,C待完善,部分齐全,active
PRD00059,ENT0012,样例企业012产品4,Product 4 of ENT0012,HOME,家居日用,升级产品,ODM,64743054,箱,50,220.00,USD,2023-07-27,2023-10-25,北美,待判断,B可推荐,部分齐全,active
PRD00060,ENT0012,样例企业012产品5,Product 5 of ENT0012,HOME,家居日用,升级产品,定制品,95420016,台,500,89.39,USD,2025-08-20,2025-11-18,北美,待判断,B可推荐,部分齐全,active
PRD00061,ENT0013,样例企业013产品1,Product 1 of ENT0013,MACH,机械设备,核心产品,ODM,26801510,套,50,207.88,USD,2023-10-29,2024-01-27,拉美,待判断,A优先推荐,待补充,active
PRD00062,ENT0013,样例企业013产品2,Product 2 of ENT0013,MACH,机械设备,配套产品,ODM,79665557,台,200,182.89,USD,2023-07-22,2023-10-20,非洲,基本适合,A优先推荐,齐全,inactive
PRD00063,ENT0013,样例企业013产品3,Product 3 of ENT0013,MACH,机械设备,配套产品,ODM,99548780,台,100,268.64,USD,2023-05-27,2023-08-25,拉美,待判断,B可推荐,待补充,active
PRD00064,ENT0013,样例企业013产品4,Product 4 of ENT0013,MACH,机械设备,升级产品,定制品,14494010,台,50,153.22,USD,2023-01-14,2023-04-14,非洲,适合,C待完善,部分齐全,active
PRD00065,ENT0013,样例企业013产品5,Product 5 of ENT0013,MACH,机械设备,定制产品,标准品,77708830,台,200,191.85,USD,2025-07-19,2025-10-17,东南亚,适合,B可推荐,部分齐全,active
PRD00066,ENT0014,样例企业014产品1,Product 1 of ENT0014,ELEC,电子电气,核心产品,定制品,24678710,箱,100,299.69,USD,2023-03-09,2023-06-07,拉美,待判断,C待完善,部分齐全,inactive
PRD00067,ENT0014,样例企业014产品2,Product 2 of ENT0014,ELEC,电子电气,配套产品,ODM,55595958,套,50,67.19,USD,2024-12-31,2025-03-31,非洲,适合,C待完善,待补充,inactive
PRD00068,ENT0014,样例企业014产品3,Product 3 of ENT0014,ELEC,电子电气,定制产品,OEM,84258167,台,50,68.03,USD,2024-12-20,2025-03-20,中东,适合,B可推荐,齐全,active
PRD00069,ENT0014,样例企业014产品4,Product 4 of ENT0014,ELEC,电子电气,配套产品,OEM,42406056,台,50,275.50,USD,2024-05-19,2024-08-17,中东,基本适合,B可推荐,部分齐全,active
PRD00070,ENT0014,样例企业014产品5,Product 5 of ENT0014,ELEC,电子电气,核心产品,定制品,23858577,件,50,33.35,USD,2025-09-18,2025-12-17,欧洲,适合,C待完善,待补充,draft
PRD00071,ENT0015,样例企业015产品1,Product 1 of ENT0015,MACH,机械设备,核心产品,标准品,55401606,箱,500,154.03,USD,2023-10-26,2024-01-24,欧洲,待判断,A优先推荐,待补充,draft
PRD00072,ENT0015,样例企业015产品2,Product 2 of ENT0015,MACH,机械设备,定制产品,定制品,32962601,箱,500,271.82,USD,2025-08-20,2025-11-18,非洲,待判断,C待完善,部分齐全,draft
PRD00073,ENT0015,样例企业015产品3,Product 3 of ENT0015,MACH,机械设备,升级产品,定制品,71025940,套,50,104.72,USD,2025-05-09,2025-08-07,拉美,待判断,B可推荐,待补充,active
PRD00074,ENT0015,样例企业015产品4,Product 4 of ENT0015,MACH,机械设备,核心产品,标准品,95645813,台,100,95.30,USD,2025-12-22,2026-03-22,北美,适合,C待完善,齐全,draft
PRD00075,ENT0015,样例企业015产品5,Product 5 of ENT0015,MACH,机械设备,配套产品,ODM,66487785,套,100,53.69,USD,2025-08-26,2025-11-24,中东,待判断,B可推荐,部分齐全,inactive
PRD00076,ENT0016,样例企业016产品1,Product 1 of ENT0016,TEXT,纺织服装,配套产品,OEM,29739223,件,500,294.06,USD,2024-11-16,2025-02-14,东南亚,待判断,A优先推荐,待补充,active
PRD00077,ENT0016,样例企业016产品2,Product 2 of ENT0016,TEXT,纺织服装,定制产品,ODM,69764049,台,50,107.41,USD,2024-02-16,2024-05-16,中东,基本适合,C待完善,部分齐全,active
PRD00078,ENT0016,样例企业016产品3,Product 3 of ENT0016,TEXT,纺织服装,配套产品,ODM,78160753,箱,50,271.07,USD,2023-11-17,2024-02-15,中东,适合,C待完善,待补充,inactive
PRD00079,ENT0016,样例企业016产品4,Product 4 of ENT0016,TEXT,纺织服装,配套产品,标准品,88280524,台,50,135.62,USD,2025-10-05,2026-01-03,中东,基本适合,B可推荐,待补充,inactive
PRD00080,ENT0016,样例企业016产品5,Product 5 of ENT0016,TEXT,纺织服装,升级产品,定制品,40470505,台,500,16.56,USD,2025-03-04,2025-06-02,东南亚,待判断,A优先推荐,齐全,inactive
PRD00081,ENT0017,样例企业017产品1,Product 1 of ENT0017,HOME,家居日用,定制产品,定制品,44352376,台,100,8.82,USD,2025-08-17,2025-11-15,东南亚,适合,A优先推荐,齐全,active
PRD00082,ENT0017,样例企业017产品2,Product 2 of ENT0017,HOME,家居日用,配套产品,标准品,30199912,件,100,276.89,USD,2025-05-31,2025-08-29,中东,适合,A优先推荐,齐全,active
PRD00083,ENT0017,样例企业017产品3,Product 3 of ENT0017,HOME,家居日用,升级产品,ODM,97793379,箱,100,232.52,USD,2025-05-05,2025-08-03,东南亚,待判断,A优先推荐,待补充,draft
PRD00084,ENT0017,样例企业017产品4,Product 4 of ENT0017,HOME,家居日用,定制产品,定制品,37279567,箱,500,274.52,USD,2024-08-08,2024-11-06,拉美,待判断,A优先推荐,待补充,inactive
PRD00085,ENT0017,样例企业017产品5,Product 5 of ENT0017,HOME,家居日用,定制产品,ODM,33150392,台,200,65.54,USD,2024-05-16,2024-08-14,拉美,基本适合,B可推荐,待补充,active
PRD00086,ENT0018,样例企业018产品1,Product 1 of ENT0018,FOOD,食品饮料,配套产品,标准品,54380379,台,100,201.41,USD,2023-03-22,2023-06-20,北美,基本适合,B可推荐,待补充,inactive
PRD00087,ENT0018,样例企业018产品2,Product 2 of ENT0018,FOOD,食品饮料,定制产品,标准品,68220223,套,200,253.58,USD,2024-01-29,2024-04-28,东南亚,待判断,C待完善,待补充,draft
PRD00088,ENT0018,样例企业018产品3,Product 3 of ENT0018,FOOD,食品饮料,核心产品,ODM,45470190,台,200,90.09,USD,2024-08-02,2024-10-31,东南亚,待判断,B可推荐,齐全,active
PRD00089,ENT0018,样例企业018产品4,Product 4 of ENT0018,FOOD,食品饮料,定制产品,ODM,39255986,件,200,204.15,USD,2023-09-14,2023-12-13,北美,基本适合,A优先推荐,待补充,draft
PRD00090,ENT0018,样例企业018产品5,Product 5 of ENT0018,FOOD,食品饮料,升级产品,标准品,81618604,件,500,292.35,USD,2025-06-09,2025-09-07,东南亚,待判断,A优先推荐,待补充,active
PRD00091,ENT0019,样例企业019产品1,Product 1 of ENT0019,MACH,机械设备,定制产品,定制品,88193919,台,50,116.39,USD,2024-08-25,2024-11-23,中东,待判断,A优先推荐,部分齐全,active
PRD00092,ENT0019,样例企业019产品2,Product 2 of ENT0019,MACH,机械设备,升级产品,标准品,94015664,套,200,90.09,USD,2023-01-06,2023-04-06,拉美,待判断,B可推荐,齐全,inactive
PRD00093,ENT0019,样例企业019产品3,Product 3 of ENT0019,MACH,机械设备,配套产品,OEM,23382808,箱,50,175.59,USD,2024-02-01,2024-05-01,拉美,基本适合,A优先推荐,部分齐全,draft
PRD00094,ENT0019,样例企业019产品4,Product 4 of ENT0019,MACH,机械设备,核心产品,定制品,91074969,件,500,7.77,USD,2025-02-15,2025-05-16,欧洲,适合,C待完善,待补充,draft
PRD00095,ENT0019,样例企业019产品5,Product 5 of ENT0019,MACH,机械设备,核心产品,定制品,98459994,箱,500,72.45,USD,2023-09-11,2023-12-10,东南亚,待判断,B可推荐,齐全,draft
PRD00096,ENT0020,样例企业020产品1,Product 1 of ENT0020,ELEC,电子电气,核心产品,定制品,41632010,件,200,232.40,USD,2023-03-25,2023-06-23,拉美,待判断,C待完善,部分齐全,active
PRD00097,ENT0020,样例企业020产品2,Product 2 of ENT0020,ELEC,电子电气,核心产品,OEM,30735118,箱,200,41.72,USD,2024-10-12,2025-01-10,欧洲,待判断,C待完善,待补充,active
PRD00098,ENT0020,样例企业020产品3,Product 3 of ENT0020,ELEC,电子电气,定制产品,标准品,46014914,台,50,285.19,USD,2025-01-25,2025-04-25,非洲,基本适合,C待完善,待补充,inactive
PRD00099,ENT0020,样例企业020产品4,Product 4 of ENT0020,ELEC,电子电气,核心产品,OEM,68533139,件,200,218.71,USD,2023-04-01,2023-06-30,东南亚,适合,C待完善,部分齐全,inactive
PRD00100,ENT0020,样例企业020产品5,Product 5 of ENT0020,ELEC,电子电气,定制产品,标准品,34074471,台,100,195.73,USD,2025-07-07,2025-10-05,欧洲,待判断,B可推荐,部分齐全,inactive
PRD00101,ENT0021,样例企业021产品1,Product 1 of ENT0021,TEXT,纺织服装,升级产品,ODM,55230897,件,200,75.15,USD,2023-11-02,2024-01-31,北美,待判断,B可推荐,齐全,draft
PRD00102,ENT0021,样例企业021产品2,Product 2 of ENT0021,TEXT,纺织服装,配套产品,标准品,83126073,台,500,67.83,USD,2024-10-15,2025-01-13,拉美,待判断,C待完善,齐全,draft
PRD00103,ENT0021,样例企业021产品3,Product 3 of ENT0021,TEXT,纺织服装,核心产品,OEM,76374262,台,500,227.79,USD,2025-01-27,2025-04-27,东南亚,待判断,C待完善,部分齐全,draft
PRD00104,ENT0021,样例企业021产品4,Product 4 of ENT0021,TEXT,纺织服装,配套产品,定制品,58092267,件,200,80.09,USD,2024-12-01,2025-03-01,东南亚,待判断,B可推荐,待补充,active
PRD00105,ENT0021,样例企业021产品5,Product 5 of ENT0021,TEXT,纺织服装,配套产品,标准品,10442564,件,50,149.02,USD,2025-11-04,2026-02-02,拉美,基本适合,C待完善,部分齐全,inactive
PRD00106,ENT0022,样例企业022产品1,Product 1 of ENT0022,MACH,机械设备,配套产品,OEM,23539764,箱,100,56.73,USD,2023-02-02,2023-05-03,中东,基本适合,C待完善,部分齐全,inactive
PRD00107,ENT0022,样例企业022产品2,Product 2 of ENT0022,MACH,机械设备,核心产品,ODM,44067172,件,200,289.01,USD,2023-01-26,2023-04-26,非洲,适合,A优先推荐,齐全,draft
PRD00108,ENT0022,样例企业022产品3,Product 3 of ENT0022,MACH,机械设备,定制产品,OEM,49710328,箱,500,121.39,USD,2024-07-16,2024-10-14,欧洲,待判断,B可推荐,待补充,draft
PRD00109,ENT0022,样例企业022产品4,Product 4 of ENT0022,MACH,机械设备,配套产品,OEM,80717988,箱,500,47.31,USD,2024-04-15,2024-07-14,非洲,待判断,C待完善,部分齐全,inactive
PRD00110,ENT0022,样例企业022产品5,Product 5 of ENT0022,MACH,机械设备,升级产品,OEM,78835211,台,200,260.52,USD,2025-03-03,2025-06-01,北美,适合,A优先推荐,待补充,active
PRD00111,ENT0023,样例企业023产品1,Product 1 of ENT0023,TEXT,纺织服装,升级产品,ODM,12132031,箱,200,145.66,USD,2023-08-19,2023-11-17,非洲,基本适合,C待完善,齐全,inactive
PRD00112,ENT0023,样例企业023产品2,Product 2 of ENT0023,TEXT,纺织服装,配套产品,ODM,53013483,套,50,259.85,USD,2024-07-13,2024-10-11,欧洲,待判断,B可推荐,部分齐全,inactive
PRD00113,ENT0023,样例企业023产品3,Product 3 of ENT0023,TEXT,纺织服装,定制产品,标准品,44049992,件,100,25.72,USD,2025-11-09,2026-02-07,东南亚,适合,A优先推荐,部分齐全,active
PRD00114,ENT0023,样例企业023产品4,Product 4 of ENT0023,TEXT,纺织服装,配套产品,定制品,81534752,件,100,45.13,USD,2024-09-07,2024-12-06,欧洲,适合,C待完善,部分齐全,inactive
PRD00115,ENT0023,样例企业023产品5,Product 5 of ENT0023,TEXT,纺织服装,配套产品,标准品,19778334,台,100,80.70,USD,2023-09-26,2023-12-25,欧洲,基本适合,C待完善,待补充,inactive
PRD00116,ENT0024,样例企业024产品1,Product 1 of ENT0024,HOME,家居日用,定制产品,OEM,34416326,台,100,113.47,USD,2023-09-17,2023-12-16,拉美,适合,C待完善,待补充,active
PRD00117,ENT0024,样例企业024产品2,Product 2 of ENT0024,HOME,家居日用,配套产品,OEM,84482024,箱,100,25.08,USD,2025-05-14,2025-08-12,北美,基本适合,B可推荐,齐全,inactive
PRD00118,ENT0024,样例企业024产品3,Product 3 of ENT0024,HOME,家居日用,配套产品,OEM,77401165,箱,100,17.52,USD,2025-09-03,2025-12-02,拉美,待判断,B可推荐,待补充,active
PRD00119,ENT0024,样例企业024产品4,Product 4 of ENT0024,HOME,家居日用,核心产品,OEM,11352132,件,200,145.95,USD,2023-09-17,2023-12-16,东南亚,基本适合,A优先推荐,齐全,inactive
PRD00120,ENT0024,样例企业024产品5,Product 5 of ENT0024,HOME,家居日用,定制产品,ODM,75820303,套,500,166.07,USD,2023-07-24,2023-10-22,北美,待判断,B可推荐,待补充,draft
PRD00121,ENT0025,样例企业025产品1,Product 1 of ENT0025,ELEC,电子电气,升级产品,ODM,20833192,套,500,67.57,USD,2024-02-28,2024-05-28,北美,待判断,A优先推荐,待补充,active
PRD00122,ENT0025,样例企业025产品2,Product 2 of ENT0025,ELEC,电子电气,配套产品,ODM,88294512,件,100,91.71,USD,2024-09-21,2024-12-20,拉美,待判断,C待完善,齐全,draft
PRD00123,ENT0025,样例企业025产品3,Product 3 of ENT0025,ELEC,电子电气,定制产品,定制品,98998610,箱,500,18.65,USD,2025-11-10,2026-02-08,拉美,待判断,C待完善,齐全,inactive
